#c_date	cloud
87024493	0.5
87031425	0.25
87097067	0
87103961	0
87110856	0
87117750	0
87183506	0
87190362	0
87197219	0
87204075	0.375
87269946	0.5
87276764	0.5
87283583	0.125
87290401	0.125
87356387	0.125
87363167	0
87369947	0
87376727	0
87442828	0
87449570	0
87456311	0
87463053	0
87529270	0
87535973	0
87542676	0
87549379	0
87615712	0
87622377	0.5
87629041	0.625
87635706	0.75
87702155	0.875
87708781	0.25
87715407	0
87722033	0
87788598	0
87795186	0.125
87801773	0.25
87808361	0.125
87875042	0
87881591	0.125
87888141	0
87894690	0
87961487	0
87967998	0
87974508	0
87981019	0
88047932	0
88054404	0
88060876	0
88067348	0
88134378	0
88140811	0
88147245	0
88153678	0
88220824	0
88227219	0.125
88233614	0
88240009	0
88307271	0
88313627	0.125
88319984	0.125
88326340	0
88393719	0
88400037	0.125
88406354	0.125
88412672	0
88480167	0
88486446	0
88492726	0
88499005	0
88566616	0
88572857	0
88579097	0
88585338	0
88653065	0
88659268	0.25
88665470	0.125
88671673	0
88739515	0
88745679	0
88751844	0
88758008	0
88825965	0
88832091	0.125
88838218	0.25
88844344	0
88912417	0
88918505	0
88924593	0
88930681	0
88998868	0
89004918	0.25
89010969	0.125
89017019	0
89085320	0
89091332	0
89097345	0
89103357	0.125
89171773	0.125
89177748	0.125
89183722	0.125
89189697	0.125
89258226	0.125
89264163	0.25
89270101	0.125
89276038	0.125
89344680	0
89350580	0
89356480	0
89362380	0
89431135	0
89436998	0
89442860	0
89448723	0
89517589	0
89523415	0.375
89529241	0.25
89535067	0.5
89604045	0.625
89609834	0.625
89615624	0.625
89621413	0.875
89690500	1
89696253	0.75
89702006	0.75
89707759	0.875
89776957	0.875
89782674	0
89788390	0
89794107	0.625
89863413	0.75
89869094	0.375
89874775	0.5
89880456	0.625
89949870	0.75
89955516	0
89961161	0
89966807	0
90036328	0
90041938	0
90047549	0
90053159	0
90122785	0
90128361	0
90133936	0
90139512	0
90209243	0
90214784	0
90220325	0
90225866	0
90295701	0.25
90301208	0
90306716	0
90312223	0.125
90382160	0.375
90387633	0.125
90393107	0.125
90398580	0
90468619	0
90474059	0.125
90479499	0
90484939	0
90555078	0
90560485	0
90565893	0
90571300	0
90641537	0
90646912	0
90652287	0
90657662	0
90727996	0
90733339	0
90738683	0
90744026	0
90814455	0
90819767	0
90825079	0
90830391	0
90900914	0
90906196	0
90911477	0
90916759	0
90987373	0
90992624	0
90997876	0
91003127	0
91073832	0
91079054	0
91084276	0
91089498	0
91160291	0
91165484	0
91170677	0
91175870	0
91246750	0
91251915	0
91257079	0
91262244	0
91333209	0
91338346	0.125
91343483	0
91348620	0
91419667	0
91424777	0.25
91429888	0.125
91434998	0
91506125	0
91511209	0
91516294	0
91521378	0
91592583	0
91597642	0.125
91602700	0.125
91607759	0
91679040	0
91684074	0
91689109	0
91694143	0
91765497	0
91770507	0
91775518	0
91780528	0
91851954	0
91856941	0
91861929	0
91866916	0
91938409	0
91943374	0.125
91948340	0.125
91953305	0
92024864	0
92029808	0.25
92034752	0.125
92039696	0.125
92111319	0.125
92116242	0
92121166	0
92126089	0
92197773	0
92202677	0
92207580	0
92212484	0
92284226	0
92289111	0
92293996	0
92298881	0
92370678	0
92375546	0
92380413	0
92385281	0
92457129	0
92461980	0
92466831	0
92471682	0
92543579	0
92548414	0
92553250	0
92558085	0
92630028	0
92634849	0
92639669	0
92644490	0
92716476	0
92721283	0
92726090	0
92730897	0
92802923	0
92807717	0
92812512	0
92817306	0
92889369	0
92894152	0.125
92898935	0.125
92903718	0.125
92975814	0.125
92980586	0
92985359	0
92990131	0
93062257	0
93067020	0
93071783	0
93076546	0
93148699	0
93153454	0.125
93158208	0.125
93162963	0
93235140	0
93239887	0.125
93244635	0.125
93249382	0.125
93321579	0.125
93326320	0.25
93331062	0.125
93335803	0.375
93408016	0.5
93412752	0.5
93417489	0.5
93422225	0.625
93494453	0.75
93499185	0
93503918	0
93508650	0
93580887	0
93585617	0
93590346	0
93595076	0
93667320	0
93672048	0
93676777	0
93681505	0
93753752	0
93758480	0
93763207	0
93767935	0
93840181	0
93844909	0.125
93849638	0
93854366	0
93926609	0
93931339	0.625
93936070	0.625
93940800	0.5
94013036	0.375
94017769	0.125
94022502	0.125
94027235	0.125
94099460	0.125
94104197	0.125
94108935	0
94113672	0
94185883	0
94190625	0
94195368	0
94200110	0
94272303	0
94277052	0
94281801	0
94286550	0
94358722	0
94363478	0.625
94368235	0.5
94372991	0.625
94445139	0.5
94449904	0.125
94454669	0
94459434	0
94531555	0
94536330	0
94541104	0
94545879	0
94617971	0.125
94622759	0.25
94627547	0.5
94632335	0.625
94704382	0.625
94709182	0.5
94713983	0.25
94718783	0.125
94790791	0
94795604	0
94800418	0
94805231	0
94877198	0
94882026	0
94886853	0
94891681	0
94963603	0
94968446	0
94973288	0
94978131	0
95050006	0
95054865	0
95059724	0
95064583	0
95136407	0.25
95141283	0.125
95146160	0
95151036	0
95222806	0.125
95227701	0
95232595	0
95237490	0
95309204	0.125
95314117	0
95319031	0
95323944	0
95395599	0
95400533	0
95405466	0
95410400	0
95481992	0
95486947	0
95491901	0
95496856	0
95568384	0
95573360	0
95578337	0
95583313	0
95654773	0
95659772	0
95664772	0
95669771	0
95741161	0
95746184	0
95751206	0
95756229	0
95827547	0
95832594	0
95837641	0
95842688	0
95913930	0.375
95919003	0.625
95924075	1
95929148	0.875
96000312	0.125
96005411	0
96010509	0
96015608	0
96086692	0
96091817	0
96096943	0
96102068	0
96173071	0
96178223	0
96183376	0
96188528	0
96259447	0
96264628	0
96269808	0
96274989	0
96345822	0.125
96351032	0
96356241	0
96361451	0
96432195	0
96437434	0
96442673	0
96447912	0
96518566	0
96523835	0
96529105	0
96534374	0
96604935	0
96610235	0
96615535	0
96620835	0
96691303	0
96696634	0
96701966	0
96707297	0
96777670	0
96783033	0
96788396	0
96793759	0
96864034	0
96869429	0
96874825	0
96880220	0
96950397	0
96955825	0
96961254	0
96966682	0
97036759	0
97042220	0
97047682	0
97053143	0
97123119	0
97128614	0
97134110	0
97139605	0
97209477	0.125
97215007	0.375
97220536	0.625
97226066	0.75
97295834	0
97301398	0
97306963	0
97312527	0
97382190	0.125
97387789	0
97393389	0
97398988	0
97468544	0
97474179	0
97479813	0
97485448	0
