#s_date	seeing
23338200	0.784008
23338500	0.953623
23338800	0.925167
23339100	0.753483
23339400	0.666049
23339700	0.720527
23340000	0.770517
23340300	0.721293
23340600	0.650177
23340900	0.652172
23341200	0.789905
23341500	0.84485
23341800	0.713133
23342100	0.775501
23342400	0.822108
23342700	0.797628
23343000	0.697009
23343300	0.656633
23343600	0.735401
23343900	0.734994
23344200	0.733913
23344500	0.75993
23344800	0.726494
23345100	0.717198
23345400	0.710039
23345700	0.796948
23346000	0.711087
23346300	0.736502
23346600	0.738861
23346900	0.802401
23347200	0.809013
23347500	0.684136
23347800	0.710081
23348100	0.826743
23348400	0.786289
23348700	0.753814
23349000	0.816318
23349300	0.871862
23349600	0.834599
23349900	0.895347
23350200	0.903374
23350500	0.812929
23350800	0.955353
23351100	0.854415
23351400	0.742584
23351700	0.686379
23352000	0.72144
23352300	0.773122
23352600	0.841491
23352900	0.834529
23353200	0.859539
23353500	0.996373
23353800	1.01473
23354100	0.952429
23354400	0.917351
23354700	0.977222
23355000	0.9808
23355300	1.02365
23355600	1.03299
23355900	0.982682
23356200	0.955413
23356500	0.973154
23356800	0.911932
23357100	0.979159
23357400	0.892215
23357700	0.934874
23358000	0.993058
23358300	1.15926
23358600	1.22987
23358900	1.18229
23359200	1.0629
23359500	0.87915
23359800	0.832921
23360100	0.853273
23360400	0.892623
23360700	0.910353
23361000	0.942876
23361300	0.853072
23361600	0.729811
23361900	0.750393
23362200	0.675211
23362500	0.585537
23362800	0.524762
23363100	0.562291
23363400	0.486583
23363700	0.51159
23364000	0.477442
23364300	0.511035
23364600	0.474225
23364900	0.505076
23365200	0.51396
23365500	0.611903
23365800	0.582119
23366100	0.569
23366400	0.651446
23366700	0.603669
23367000	0.654189
23367300	0.743844
23367600	0.739479
23367900	0.873985
23368200	0.987187
23368500	1.03298
23368800	0.92478
23369100	0.837017
23369400	0.841869
23369700	1.01896
23370000	0.960706
23370300	1.04594
23370600	0.886457
23370900	0.961056
23371200	0.823597
23371500	0.835772
23371800	0.769814
23372100	0.809299
23372400	0.746968
23372700	0.702248
23373000	0.68921
23373300	0.691811
23373600	0.764086
23373900	0.842209
23374200	0.899239
23374500	0.865028
23374800	0.985914
23375100	0.970958
23375400	0.885414
23375700	0.893311
23376000	0.948243
23376300	0.929657
23376600	0.850141
23376900	0.832529
23377200	0.711888
23377500	0.648179
23377800	0.614734
23378100	0.590689
23378400	0.640616
23378700	0.677994
23379000	0.58601
23379300	0.652461
23379600	0.653513
23379900	0.67916
23380200	0.611163
23380500	0.636703
23380800	0.685605
23381100	0.69367
23381400	0.660611
23381700	0.635636
23382000	0.612829
23382300	0.751039
23382600	0.679516
23382900	0.637859
23383200	0.648126
23383500	0.691657
23383800	0.614523
23384100	0.705574
23384400	0.689956
23384700	0.701581
23385000	0.741424
23385300	0.770116
23385600	0.769319
23385900	0.671922
23386200	0.732241
23386500	0.77047
23386800	0.793797
23387100	0.859474
23387400	0.840666
23387700	0.780596
23388000	0.803118
23388300	0.880627
23388600	0.831
23388900	0.813605
23389200	0.77634
23389500	0.779345
23389800	0.757542
23390100	0.750409
23390400	0.697284
23390700	0.779512
23391000	0.833242
23391300	0.911615
23391600	0.868233
23391900	0.939062
23392200	0.918164
23392500	0.859388
23392800	0.941165
23393100	0.895735
23393400	0.956209
23393700	0.83935
23394000	0.75167
23394300	0.744645
23394600	0.807224
23394900	0.959083
23395200	0.852411
23395500	1.01962
23395800	1.04926
23396100	1.02768
23396400	0.989942
23396700	1.00562
23397000	1.00186
23397300	1.02924
23397600	1.12979
23397900	1.19915
23398200	1.12878
23398500	0.928972
23398800	0.90765
23399100	0.864632
23399400	0.847252
23399700	0.904117
23400000	0.853744
23400300	0.809598
23400600	0.808302
23400900	0.757203
23401200	0.767021
23401500	0.68619
23401800	0.753189
23402100	0.792374
23402400	0.779545
23402700	0.758982
23403000	0.708197
23403300	0.670005
23403600	0.712537
23403900	0.682206
23404200	0.678887
23404500	0.677813
23404800	0.667492
23405100	0.695967
23405400	0.750169
23405700	0.750842
23406000	0.692993
23406300	0.688808
23406600	0.782244
23406900	0.821921
23407200	0.942691
23407500	1.01737
23407800	0.996747
23408100	0.891513
23408400	0.865784
23408700	0.819232
23409000	0.76495
23409300	0.795047
23409600	0.807424
23409900	0.95272
23410200	1.02125
23410500	1.06928
23410800	0.984711
23411100	1.01104
23411400	1.00776
23411700	0.921104
23412000	0.856653
23412300	0.832659
23412600	0.905241
23412900	0.866613
23413200	0.86721
23413500	0.88827
23413800	1.02496
23414100	1.17422
23414400	1.2286
23414700	1.08362
23415000	1.04072
23415300	0.974395
23415600	1.05003
23415900	1.02539
23416200	0.921514
23416500	0.946314
23416800	0.820879
23417100	0.738913
23417400	0.778444
23417700	0.762605
23418000	0.752775
23418300	0.737363
23418600	0.703387
23418900	0.831835
23419200	0.804426
23419500	0.794299
23419800	0.736454
23420100	0.66306
23420400	0.648114
23420700	0.69185
23421000	0.69557
23421300	0.719833
23421600	0.688654
23421900	0.741524
23422200	0.68613
23422500	0.710547
23422800	0.668407
23423100	0.692167
23423400	0.654881
23423700	0.588628
23424000	0.544893
23424300	0.586749
23424600	0.632887
23424900	0.647024
23425200	0.676912
23425500	0.64418
23425800	0.666079
23426100	0.702671
23426400	0.639433
23426700	0.694781
23427000	0.707491
23427300	0.716493
23427600	0.806932
23427900	0.932193
23428200	0.947969
23428500	0.842381
23428800	0.828425
23429100	0.905539
23429400	0.888134
23429700	0.769555
23430000	0.679375
23430300	0.709703
23430600	0.750728
23430900	0.781443
23431200	0.697647
23431500	0.804623
23431800	0.737117
23432100	0.710872
23432400	0.693958
23432700	0.760154
23433000	0.850075
23433300	0.807825
23433600	0.736425
23433900	0.714205
23434200	0.680646
23434500	0.617282
23434800	0.608356
23435100	0.619711
23435400	0.72893
23435700	0.758349
23436000	0.698099
23436300	0.705448
23436600	0.716148
23436900	0.749746
23437200	0.778362
23437500	0.701051
23437800	0.781302
23438100	0.673087
23438400	0.619467
23438700	0.540232
23439000	0.503112
23439300	0.603235
23439600	0.641306
23439900	0.586668
23440200	0.606201
23440500	0.58569
23440800	0.56615
23441100	0.631077
23441400	0.572492
23441700	0.503288
23442000	0.517738
23442300	0.487097
23442600	0.471437
23442900	0.564606
23443200	0.574833
23443500	0.56023
23443800	0.507728
23444100	0.504876
23444400	0.508256
